genre,artist_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,max_improvement
Reggae,Richie Spice,0,0.134,0.81,261787,0.44,2.98e-05,C,0.0992,-7.745,Major,0.21,142.543,4/4,0.706,25.332693371108604
Soundtrack,Jeff Beal,35,0.949,0.236,163853,0.117,0.854,G#,0.123,-23.925,Major,0.0317,70.196,5/4,0.071,8.545812280359362
Soundtrack,Randy Edelman,31,0.987,0.34,153813,0.134,0.906,C,0.0959,-16.512,Major,0.0323,81.047,3/4,0.198,7.211255582606
Folk,Natalie Merchant,53,0.346,0.719,266008,0.739,0.0102,C#,0.0581,-5.577,Major,0.0419,115.142,4/4,0.603,9.104783091580712
Anime,THE YELLOW MONKEY,29,0.00305,0.523,268160,0.96,1.4e-06,B,0.301,-3.532,Minor,0.0701,117.168,4/4,0.675,8.954469644563197
Ska,8 Kalacas,19,4.58e-06,0.307,169053,0.978,3.81e-05,A#,0.0553,-6.321,Minor,0.121,143.482,4/4,0.81,13.653071517078343
Rock,Deftones,55,0.00025,0.295,289200,0.883,0.0234,C,0.137,-3.897,Minor,0.0446,74.483,3/4,0.118,8.906835323020184
Reggae,Demarco,33,0.0341,0.553,207835,0.733,0.0,D,0.172,-6.654,Major,0.356,124.185,5/4,0.281,11.025391421043743
Pop,Motion City Soundtrack,64,0.000494,0.435,207634,0.95,0.0,G#,0.317,-3.869,Major,0.106,160.987,4/4,0.457,8.963418220001936
Country,Robert Earl Keen,38,0.156,0.503,293387,0.614,8.89e-05,D,0.604,-10.875,Major,0.0296,108.631,4/4,0.493,14.767986603422534
Children's Music,Never Shout Never,46,0.944,0.738,210667,0.308,0.0,C,0.131,-7.242,Major,0.0419,124.979,4/4,0.531,15.668838595249346
Alternative,The Internet,50,0.427,0.489,413587,0.506,0.0862,B,0.12,-10.251,Major,0.177,95.528,4/4,0.431,9.911861441831723
Soul,Raphael Saadiq,35,0.00404,0.66,216307,0.806,0.0087,B,0.0704,-4.495,Major,0.0246,99.987,4/4,0.75,13.907144617223743
Rap,Huncho Jack,68,0.00158,0.737,148560,0.737,0.0,E,0.28,-3.72,Minor,0.238,134.066,4/4,0.5,5.3086947449283075
Children's Music,Music For Little People Choir,0,0.0729,0.701,274267,0.739,0.000333,C,0.0805,-6.547,Major,0.0291,120.004,4/4,0.687,26.6318789212218
R&B,Jinsang,44,0.506,0.737,90187,0.259,0.135,G#,0.0893,-18.901,Minor,0.423,149.106,4/4,0.42,9.950828121887483
World,Passion,30,0.0996,0.367,291627,0.496,0.0,E,0.676,-9.038,Major,0.0356,76.069,4/4,0.197,10.223975289151149
Electronic,San Holo,61,0.235,0.474,341476,0.731,0.00536,C,0.223,-5.582,Major,0.0406,135.056,4/4,0.0876,5.135477007736907
Classical,Erik Satie,43,0.936,0.092,221000,0.0239,0.902,G,0.18,-31.457,Major,0.0488,67.289,3/4,0.0541,3.4637966207628943
R&B,Shoffy,61,0.182,0.84,182400,0.193,0.0,G#,0.173,-11.186,Major,0.0696,99.99,4/4,0.204,5.984650467179452
Comedy,Robin Williams,39,0.375,0.475,104573,0.795,0.0,E,0.316,-5.005,Major,0.0824,95.518,4/4,0.412,7.008834909660653
Anime,Capcom Sound Team,21,0.706,0.294,184120,0.652,0.823,D#,0.116,-5.36,Minor,0.036,76.006,4/4,0.212,10.735160634734564
Indie,Lady Lamb,45,0.366,0.496,237680,0.469,0.0,G,0.133,-6.619,Major,0.0352,137.833,4/4,0.259,13.419293626809525
Opera,Richard Wagner,13,0.92,0.0942,589000,0.0341,0.953,A,0.277,-26.675,Major,0.04,84.676,4/4,0.0288,15.199112851080613
Country,Kellie Pickler,38,0.486,0.705,207200,0.44,0.0,D,0.113,-4.452,Major,0.0254,86.008,4/4,0.453,13.451418353652938
Soundtrack,Austin Wintory,44,0.889,0.34,256819,0.386,0.905,E,0.252,-16.785,Minor,0.0378,151.964,3/4,0.234,7.828182954810852
Indie,Arcade Fire,49,0.0935,0.313,285133,0.853,0.169,F,0.166,-5.812,Major,0.0372,119.955,3/4,0.579,9.717545329317685
Folk,Dan Auerbach,67,0.315,0.559,176027,0.466,0.0039,F,0.0933,-6.769,Major,0.0362,117.21,4/4,0.623,3.842790367645975
Movie,Jean Claude Corbel,0,0.801,0.557,63023,0.247,0.0,E,0.179,-12.371,Minor,0.0308,109.603,4/4,0.276,21.92567154888405
Comedy,Mike Baldwin,16,0.712,0.446,175852,0.69,0.0,G#,0.953,-13.451,Major,0.911,85.848,3/4,0.298,11.86480497507205
Reggae,Lady Saw,38,0.561,0.797,197600,0.523,0.0,D,0.216,-9.817,Major,0.0448,93.909,4/4,0.653,7.667994954389765
Electronic,Oneohtrix Point Never,48,0.123,0.378,305287,0.318,0.896,G#,0.0933,-8.58,Major,0.0351,121.904,4/4,0.0382,3.1213476336001285
Jazz,Deaf Center,45,0.995,0.448,152160,0.00827,0.887,B,0.34,-27.805,Minor,0.0541,104.538,4/4,0.54,4.296989354002435
Movie,Nathan Lane,10,0.639,0.69,243267,0.418,0.0,C#,0.14,-8.028,Major,0.416,100.596,4/4,0.584,13.329867161492087
Soundtrack,John Williams,34,0.956,0.185,247493,0.0599,0.872,G#,0.125,-27.514,Major,0.0428,77.707,1/4,0.0393,11.967518544009655
Anime,MAXIMUM THE HORMONE,22,0.000889,0.281,156373,0.984,0.000187,A#,0.236,-3.897,Minor,0.306,139.402,4/4,0.249,8.953482204872781
Anime,"Kami-sama, I have noticed",39,0.0515,0.623,211507,0.952,0.0,A,0.117,-4.83,Minor,0.266,134.966,4/4,0.39,5.810090959669107
Rap,Blac Youngsta,62,0.000385,0.903,163400,0.647,6.29e-05,C#,0.111,-9.612,Major,0.0998,142.963,4/4,0.817,8.733568564584894
Children's Music,Passion,51,0.235,0.357,327587,0.556,0.0,F,0.104,-7.43,Major,0.0335,148.01,4/4,0.191,10.181704875782314
Jazz,Jordan Rakei,53,0.465,0.645,226509,0.452,0.144,A,0.108,-8.305,Minor,0.0582,140.028,4/4,0.272,2.414290841712725
World,Philip Glass,31,0.974,0.153,77173,0.0459,0.71,F,0.114,-25.249,Major,0.0434,102.788,4/4,0.0402,10.23142582633575
Electronic,Dillon Francis,53,0.00171,0.721,197442,0.925,0.0545,E,0.547,-3.208,Minor,0.196,111.961,4/4,0.37,6.07129247878126
Hip-Hop,Chief Keef,48,0.0332,0.654,317846,0.526,0.0,C#,0.136,-7.591,Major,0.423,120.019,4/4,0.384,12.095644786913391
R&B,Pink Sweat$,64,0.636,0.726,101500,0.375,0.0,E,0.0894,-8.295,Major,0.0336,106.854,4/4,0.762,6.172714973058414
Rock,The Flying Burrito Brothers,56,0.15,0.525,380467,0.391,0.000541,G,0.107,-12.166,Major,0.0284,130.443,4/4,0.27,5.628163641888904
Comedy,Todd Barry,20,0.857,0.561,152120,0.701,0.0,G#,0.434,-14.806,Major,0.929,81.994,5/4,0.423,6.486167486890554
Comedy,Jeff Foxworthy,21,0.775,0.543,243333,0.892,0.0,B,0.704,-9.395,Major,0.948,95.459,1/4,0.171,11.246585626426272
Ska,The Black Seeds,17,0.00377,0.798,286013,0.765,0.000788,D,0.0989,-7.299,Minor,0.0699,99.047,4/4,0.626,11.272910956285363
Folk,Lake Street Dive,45,0.175,0.675,288118,0.777,0.00703,G,0.297,-4.699,Major,0.0392,105.022,4/4,0.507,14.688371109692744
Folk,Real Estate,45,0.0607,0.523,227280,0.894,0.624,G#,0.235,-6.467,Minor,0.0281,140.735,4/4,0.842,9.673345466623502
Jazz,Russ Freeman,33,0.07,0.765,246400,0.699,0.0,G,0.0759,-7.529,Minor,0.0263,110.414,4/4,0.633,12.895033929710651
Dance,Nelly,50,0.199,0.81,292160,0.649,7.66e-05,A,0.171,-9.094,Major,0.0908,74.383,4/4,0.59,12.776809898778481
Soundtrack,John Williams,36,0.784,0.0969,361627,0.227,0.842,A#,0.128,-15.471,Major,0.037,62.992,4/4,0.0675,10.927917527043997
Rock,Whitney,63,0.893,0.581,237973,0.4,0.576,D,0.161,-8.739,Major,0.0291,112.331,4/4,0.433,10.826315995809196
Pop,Sebastian Yatra,68,0.693,0.727,198280,0.526,0.0,F#,0.116,-6.307,Major,0.0378,105.086,4/4,0.681,10.587192358615942
Hip-Hop,Young Thug,59,0.147,0.577,402067,0.557,0.0,G#,0.21,-6.894,Major,0.114,119.977,4/4,0.177,6.6758784372510105
Folk,City and Colour,39,0.293,0.563,190067,0.725,0.000525,G,0.361,-6.366,Major,0.0317,102.962,4/4,0.677,14.804982812461537
Soul,D'Angelo,48,0.702,0.511,286800,0.402,0.00014,E,0.11,-10.695,Minor,0.219,83.339,4/4,0.503,7.119924885128289
Children's Music,Juice Music,0,0.585,0.967,79253,0.366,0.0,G,0.0596,-12.628,Major,0.113,110.048,4/4,0.964,16.4464696576587
Blues,Jimmy Reed,27,0.973,0.744,156973,0.349,0.0155,D,0.108,-9.234,Major,0.0385,92.433,4/4,0.734,8.837818485932443
Soundtrack,Randy Edelman,20,0.988,0.0623,200973,0.021,0.913,E,0.0698,-29.708,Major,0.0451,58.082,4/4,0.0339,16.313980849948578
Electronic,Zero 7,25,0.0123,0.678,238040,0.715,0.000145,C,0.163,-7.656,Major,0.0316,116.995,4/4,0.902,19.380741555035144
Comedy,Stephen Lynch,30,0.515,0.606,126413,0.814,0.0,C,0.219,-6.94,Major,0.215,132.043,4/4,0.84,7.273435454904732
Jazz,Benny Sings,35,0.312,0.767,165893,0.371,0.0434,G,0.0809,-14.36,Minor,0.033,95.01,4/4,0.598,13.31232567523935
Pop,Henry Jamison,69,0.398,0.579,233289,0.559,0.000206,C#,0.0817,-7.338,Major,0.0325,151.985,4/4,0.328,11.375866689781333
Jazz,The Cat Empire,48,0.0297,0.621,194693,0.816,0.0949,G,0.324,-5.007,Minor,0.0409,85.023,4/4,0.72,8.237954184726183
Folk,Foxwarren,53,0.19,0.656,256917,0.324,0.63,C,0.121,-12.341,Major,0.128,80.982,3/4,0.11,5.786089989239495
Soul,Two Another,55,0.135,0.815,240104,0.81,0.00954,F#,0.54,-5.842,Major,0.0787,115.997,4/4,0.612,7.880449264397953
World,Shane & Shane,51,0.203,0.509,287080,0.276,0.0,C,0.15,-10.406,Major,0.0301,109.707,4/4,0.138,-0.022191813722014803
Movie,Cliff Edwards,1,0.816,0.642,122827,0.27,0.0,D#,0.0726,-12.059,Major,0.323,164.488,3/4,0.795,16.234828680579636
Children's Music,D'Angelo,60,0.16,0.838,430800,0.304,0.0257,E,0.0828,-9.975,Minor,0.0628,112.618,3/4,0.221,1.408917630913199
Indie,Andrew Bird,45,0.174,0.453,242147,0.717,0.00243,G,0.12,-7.724,Major,0.0754,111.019,4/4,0.393,12.224819028395538
Reggae,The Pioneers,33,0.574,0.707,161320,0.536,0.437,B,0.0953,-9.459,Major,0.171,170.863,4/4,0.966,15.881222164840745
Soul,Brandt Orange,47,0.723,0.435,284870,0.398,0.0,A,0.193,-8.77,Major,0.0385,111.993,4/4,0.289,8.270668715170421
Pop,Meek Mill,72,0.0242,0.589,223973,0.658,0.0,B,0.118,-5.288,Minor,0.203,77.521,4/4,0.251,5.495330072663208
Soundtrack,Gustavo Santaolalla,51,0.874,0.635,167067,0.256,0.95,B,0.107,-14.187,Minor,0.0355,92.025,4/4,0.249,2.524428134616104
Rap,Preme,66,0.538,0.749,223173,0.641,0.0,F#,0.0775,-5.268,Major,0.0444,140.08,4/4,0.409,9.684498154882363
Soul,LEISURE,52,0.201,0.875,232447,0.483,0.0113,F#,0.151,-9.275,Minor,0.0918,105.023,4/4,0.443,6.632441195988538
Children's Music,The Countdown Kids,0,0.383,0.529,131907,0.538,7.45e-06,A#,0.328,-11.549,Major,0.0265,82.517,4/4,0.797,32.93505458344876
Movie,Susan Egan,13,0.469,0.473,256994,0.476,0.0,B,0.218,-8.038,Major,0.0807,100.185,4/4,0.317,9.713642174924127
Indie,Teen Daze,50,0.964,0.225,237547,0.151,0.503,A,0.307,-16.13,Major,0.0352,147.697,4/4,0.0517,12.630633669794898
Electronic,Moby,25,0.159,0.687,303440,0.63,0.953,B,0.105,-9.82,Minor,0.0461,126.004,4/4,0.108,18.96914939868605
World,Citipointe Live,36,0.00498,0.368,558973,0.463,6.02e-05,E,0.129,-9.916,Major,0.0305,180.108,4/4,0.0475,9.83028599146109
World,Jai Uttal,29,0.938,0.61,905867,0.244,0.897,B,0.113,-16.337,Minor,0.0313,180.033,5/4,0.54,11.628130054095777
Soul,THEY.,42,0.0779,0.68,190358,0.909,0.0,C,0.378,-4.74,Major,0.0822,147.927,4/4,0.809,13.591957241550878
Blues,Billy Stewart,28,0.788,0.435,129907,0.33,0.000544,G,0.118,-15.266,Major,0.03,173.526,3/4,0.867,10.600733095597148
World,Pat Barrett,52,0.816,0.276,323520,0.249,2.16e-06,A,0.0994,-8.751,Major,0.0304,136.231,3/4,0.158,3.4638026178198302
Soul,Mura Masa,45,0.182,0.779,170455,0.74,0.806,G,0.0877,-9.084,Major,0.424,176.061,4/4,0.458,9.034928286588928
Indie,Eves Karydas,61,0.68,0.603,244267,0.337,0.00086,F#,0.102,-10.325,Major,0.0332,139.824,4/4,0.164,7.248382578643472
Movie,Chantal Goya,21,0.24,0.576,210427,0.814,0.0,A,0.201,-7.64,Major,0.0643,132.228,4/4,0.802,7.2283696122905345
Alternative,Five Finger Death Punch,42,0.000242,0.565,262853,0.922,0.0,F#,0.112,-4.936,Major,0.117,130.025,4/4,0.393,14.437352467020217
Rap,Rich Homie Quan,64,0.038,0.728,176675,0.62,0.0,D,0.342,-7.533,Major,0.0434,81.998,4/4,0.885,12.252670417511297
Hip-Hop,BONES,51,0.229,0.653,137000,0.581,6.28e-06,C#,0.115,-10.909,Minor,0.0695,83.96,4/4,0.116,12.550603248561638
Soul,St. Paul & The Broken Bones,59,0.294,0.61,196867,0.752,0.0755,A#,0.116,-5.062,Minor,0.0389,89.995,4/4,0.832,9.136231764261247
Children's Music,Rainbow Kitten Surprise,61,0.0492,0.641,225413,0.531,0.0,D,0.118,-7.243,Major,0.157,135.564,4/4,0.194,0.7076539253709271
Comedy,Mitch Hedberg,31,0.49,0.406,180000,0.391,0.000277,C#,0.469,-14.742,Major,0.874,55.484,4/4,0.66,3.925273641593011
Rock,Badflower,54,0.00462,0.591,229667,0.797,1.3e-06,D,0.137,-4.675,Minor,0.0297,104.014,4/4,0.351,13.685430654453342
World,Cantoma,37,0.0937,0.655,268573,0.664,0.498,F,0.14,-9.094,Major,0.0327,109.993,4/4,0.679,12.936994923383445
Opera,Gaetano Donizetti,11,0.982,0.247,247933,0.138,0.000208,G,0.255,-18.226,Minor,0.0779,78.005,4/4,0.0393,14.762761904030176
Classical,Avantasia,45,0.0015,0.237,672573,0.871,0.00292,B,0.132,-4.382,Minor,0.0402,93.004,4/4,0.293,7.376109692613592
Ska,Less Than Jake,35,0.0367,0.537,126373,0.921,0.0,C,0.0517,-2.977,Major,0.0591,98.029,4/4,0.973,14.228511344815852
Alternative,Five Finger Death Punch,66,0.000595,0.557,262440,0.886,9.84e-05,B,0.0904,-4.196,Minor,0.0498,114.025,4/4,0.17,8.095627467413616
Folk,Spoon,53,0.112,0.692,260080,0.9,5.44e-05,C,0.173,-4.273,Major,0.0972,79.038,4/4,0.931,8.553111258936562
Folk,Robert Palmer,48,0.00701,0.677,192440,0.748,3.99e-05,E,0.093,-12.328,Major,0.038,146.03,4/4,0.746,10.11925859249405
Blues,Joe Bonamassa,37,0.000388,0.344,400240,0.725,0.0146,B,0.112,-5.368,Minor,0.032,178.788,4/4,0.706,10.199360377771614
Country,Tim McGraw,59,0.0836,0.471,213399,0.791,0.0,C,0.0868,-4.817,Major,0.0506,128.007,4/4,0.355,1.5607559095038492
Indie,Wild Rivers,54,0.587,0.579,247794,0.38,0.0,A,0.107,-7.403,Major,0.0336,144.387,4/4,0.338,11.376957172435452
World,Dean Evenson,26,0.99,0.248,255229,0.0527,0.954,A,0.0853,-22.65,Minor,0.0409,138.673,3/4,0.102,15.873478645215911
World,Park Hyo Shin,28,0.923,0.39,299938,0.118,1.9e-06,E,0.107,-15.537,Major,0.0309,140.12,4/4,0.235,12.451886647319808
Dance,Niall Horan,57,0.322,0.709,242792,0.68,0.0,C#,0.122,-7.954,Major,0.0348,126.961,4/4,0.818,5.6302951208210885
World,Aphex Twin,28,0.941,0.227,341880,0.293,0.965,C#,0.11,-18.071,Major,0.0447,138.386,3/4,0.0337,14.985718865357546
Pop,Why Don't We,64,0.0211,0.663,173053,0.715,2.6e-05,F,0.85,-4.536,Minor,0.07,77.024,4/4,0.607,9.460150965734059
Rap,Kanye West,70,0.313,0.667,236120,0.423,0.0,A,0.193,-7.146,Minor,0.0822,125.116,4/4,0.156,5.2854386940773095
Blues,Bigg Robb,28,0.222,0.699,351532,0.502,0.0,C,0.124,-6.976,Major,0.145,142.006,3/4,0.687,11.717546177186785
Reggae,Damian Marley,47,0.318,0.538,239707,0.655,0.0,D,0.152,-7.377,Minor,0.308,113.283,5/4,0.693,9.722652124736493
Rock,John Prine,53,0.613,0.577,161867,0.419,0.0,G,0.361,-11.945,Major,0.0374,163.942,4/4,0.855,14.067675339981152
Classical,Wolfgang Amadeus Mozart,41,0.977,0.2,271507,0.194,0.869,G,0.362,-18.541,Minor,0.0364,95.47,4/4,0.0634,4.9609870271288985
Movie,Randy Newman,14,0.834,0.0828,167760,0.196,8.19e-06,A#,0.116,-17.521,Major,0.0414,65.489,4/4,0.0805,12.578264551257597
Folk,Damien Rice,43,0.817,0.48,318023,0.125,0.000109,D#,0.453,-14.061,Major,0.0333,116.391,3/4,0.233,11.09138028389413
Alternative,X,44,0.0871,0.608,144821,0.791,1.81e-06,G,0.0868,-5.441,Major,0.0306,92.743,4/4,0.722,9.384796864091891
Rap,Pouya,63,0.0042,0.77,135732,0.853,0.000961,A#,0.0936,-3.849,Minor,0.221,164.037,4/4,0.615,7.022370024351716
World,UPPERROOM,37,0.102,0.378,720266,0.431,4.49e-06,C#,0.0776,-9.339,Major,0.0353,127.847,4/4,0.077,9.724602470776917
Soundtrack,James Horner,28,0.927,0.152,204067,0.101,0.9,G#,0.201,-25.083,Minor,0.0429,71.049,3/4,0.033,14.751183176444043
Ska,Against Me!,31,2.04e-05,0.247,200040,0.727,0.399,A#,0.115,-5.269,Major,0.0328,171.205,4/4,0.444,10.052927438770858
Blues,Bo Diddley,30,0.844,0.479,142427,0.569,0.000196,G#,0.0882,-12.203,Major,0.0341,105.513,4/4,0.886,9.164194515247464
Blues,Delbert McClinton,22,0.163,0.503,214467,0.657,0.00189,G,0.264,-9.002,Major,0.0661,170.224,4/4,0.749,12.834978390412253
Soul,Manwolves,41,0.0304,0.576,212385,0.769,9.49e-05,C,0.0642,-4.276,Major,0.0545,146.026,4/4,0.707,13.592940890555917
World,Desperation Band,35,0.491,0.284,288547,0.262,0.0,D,0.253,-9.238,Major,0.0304,148.119,4/4,0.153,9.177578586481333
Electronic,Hot Chip,52,0.113,0.715,329169,0.64,0.0418,D,0.0848,-7.168,Major,0.0317,113.507,4/4,0.4,2.847326603842859
Anime,Superfly,46,0.112,0.537,255373,0.91,5.07e-06,C,0.0922,-4.455,Minor,0.181,108.065,4/4,0.135,-0.4258263918352346
Pop,Enrique Iglesias,60,0.0283,0.674,231653,0.87,6.3e-06,F,0.145,-4.688,Minor,0.0452,125.943,4/4,0.26,11.20395669270359
World,Casting Crowns,27,0.168,0.439,282453,0.72,0.0,B,0.988,-4.619,Major,0.0366,79.032,4/4,0.39,15.639213235982202
Children's Music,Dave Rawlings Machine,55,0.41,0.473,294533,0.309,9.83e-06,A,0.143,-10.364,Major,0.0305,120.168,4/4,0.37,2.507657168122568
Alternative,Cults,49,0.115,0.374,204400,0.697,0.893,D,0.343,-6.758,Major,0.0331,77.549,4/4,0.493,6.886496969671164
Rock,Florida Georgia Line,67,0.0256,0.514,181600,0.864,0.0,E,0.103,-3.246,Minor,0.0502,94.927,4/4,0.471,6.118060337672681
Jazz,Chuck Loeb,29,0.578,0.665,311253,0.645,0.0849,D,0.392,-7.959,Minor,0.0288,143.981,4/4,0.693,19.267381727931987
World,Covenant Worship,30,0.468,0.223,581083,0.386,0.0,G,0.927,-9.44,Major,0.0315,72.599,4/4,0.176,12.620858049119063
Comedy,Jim Norton,22,0.787,0.447,148720,0.963,0.0,C,0.874,-4.065,Major,0.938,170.326,3/4,0.134,11.098535520066804
World,Shane & Shane,50,0.432,0.3,328889,0.365,1.68e-06,E,0.669,-8.368,Major,0.0288,105.831,3/4,0.125,0.9168988674802895
Reggae,Slightly Stoopid,31,0.0674,0.76,241480,0.666,0.0,E,0.119,-7.258,Major,0.0402,88.096,4/4,0.86,12.96013562884196
Opera,Giacomo Puccini,14,0.967,0.198,180293,0.283,0.639,F#,0.172,-12.662,Major,0.0353,77.027,4/4,0.0664,11.74764635906781
Electronic,Nicola Cruz,50,0.718,0.647,263689,0.397,0.0648,G,0.0974,-13.234,Major,0.0816,179.868,4/4,0.179,5.265821332336898
Electronic,Minnesota,35,0.0497,0.669,190119,0.793,4.86e-05,F,0.142,-6.898,Major,0.153,127.994,4/4,0.439,13.360496648986123
World,"Phillips, Craig & Dean",38,0.391,0.486,316464,0.611,0.000771,F#,0.142,-7.847,Major,0.0327,136.263,4/4,0.265,10.78955487859389
Comedy,Eugene Mirman,29,0.889,0.561,207667,0.399,0.0,C,0.763,-14.214,Major,0.947,82.266,5/4,0.662,6.865877607653734
Classical,Wolfgang Amadeus Mozart,38,0.987,0.173,463000,0.0154,0.753,D,0.088,-25.193,Major,0.0459,131.12,5/4,0.0734,12.944912256029198
Jazz,Charlie Haden,34,0.967,0.496,262880,0.0156,0.956,F,0.124,-28.544,Major,0.051,121.267,3/4,0.129,13.503707320805686
Jazz,B.B. King,54,0.344,0.547,324733,0.46,0.442,B,0.0983,-8.759,Minor,0.0256,90.768,4/4,0.543,4.356741162822037
Blues,Kenne' Wayne,20,0.182,0.884,214707,0.534,0.00128,A,0.269,-9.658,Minor,0.094,105.021,4/4,0.849,14.428183102632559
Folk,Imogen Heap,42,0.8,0.805,215481,0.371,0.0,G,0.12,-10.721,Minor,0.0352,119.974,4/4,0.808,15.149998593557493
Soul,EXES,52,0.337,0.582,235636,0.474,0.000352,G,0.159,-9.653,Minor,0.0347,109.902,4/4,0.12,10.746887309549445
Soundtrack,Dario Marianelli,25,0.819,0.459,120213,0.309,0.349,C,0.114,-16.702,Minor,0.051,150.529,3/4,0.533,10.396489915959569
Jazz,Stan Getz,35,0.986,0.394,346160,0.0755,0.845,G,0.165,-17.782,Major,0.035,65.409,4/4,0.208,9.944177413664585
Soul,Rag'n'Bone Man,58,0.0386,0.623,228520,0.797,0.000268,G#,0.133,-4.887,Major,0.264,164.006,4/4,0.373,4.160954658139261
Children's Music,Ozzy Osbourne,56,0.000963,0.578,239827,0.937,2.25e-06,F,0.4,-3.926,Major,0.0724,137.937,4/4,0.769,8.030643857663902
Comedy,Mitch Hedberg,31,0.251,0.4,87333,0.494,0.000406,F#,0.542,-13.514,Minor,0.722,73.118,4/4,0.736,4.076939487722927
Folk,Crywank,40,0.902,0.723,245133,0.304,3.51e-06,G,0.11,-14.893,Major,0.194,115.208,4/4,0.376,14.441737656330075
Reggae,311,30,0.0275,0.684,170173,0.879,0.0,G,0.0591,-8.708,Major,0.0637,92.43,4/4,0.822,12.100008681206011
Soul,RY X,59,0.734,0.482,229533,0.279,0.0551,C#,0.106,-15.37,Minor,0.0283,92.586,3/4,0.101,3.104234346550887
Rock,Sufjan Stevens,63,0.986,0.51,239508,0.16,0.017,E,0.113,-21.03,Major,0.0395,170.063,4/4,0.383,6.320362831977886
Reggae,Slightly Stoopid,33,0.0453,0.585,213493,0.763,0.000153,C#,0.353,-6.132,Minor,0.152,167.693,4/4,0.881,9.689127548270298
Dance,Sonic Youth,48,0.096,0.52,295813,0.858,0.588,G#,0.14,-7.914,Major,0.0358,76.761,4/4,0.444,8.985846088002132
Jazz,Thievery Corporation,33,0.318,0.628,186493,0.569,0.921,A,0.0877,-9.808,Minor,0.0762,197.955,4/4,0.485,12.418054261436678
Opera,Richard Wagner,9,0.979,0.102,736426,0.02,0.92,G#,0.167,-26.28,Major,0.0432,81.675,4/4,0.0295,18.755799016816916
Rock,Vance Joy,59,0.0786,0.584,221138,0.677,0.0,G,0.105,-4.336,Major,0.0297,119.006,3/4,0.113,9.55661541477827
